Skill Group Bin,Round (group),Round Winner,RoundEndReason,de_dust2,de_dust2,de_nuke,de_nuke,de_inferno,de_inferno,de_mirage,de_mirage,de_cbble,de_cbble,de_cache,de_cache,de_overpass,de_overpass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skill Group Bin,Round (group),Round Winner,RoundEndReason,Planted,Not Planted,Planted,Not Planted,Planted,Not Planted,Planted,Not Planted,Planted,Not Planted,Planted,Not Planted,Planted,Not Planted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skill Group 15-18,Rounds 4 - 15,CT Win,All T's Eliminated,,37.76%,,47.77%,,42.18%,,41.59%,,41.59%,,39.73%,,42.02%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skill Group 1-6,Round 1,CT Win,Bomb Defused,14.98%,,14.51%,,11.72%,,16.23%,,12.22%,,17.97%,,15.50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skill Group 7-10,Round 1,CT Win,Bomb Defused,14.70%,,14.21%,,12.92%,,16.56%,,12.31%,,19.64%,,16.67%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skill Group 11-14,Round 1,CT Win,Bomb Defused,14.45%,,14.12%,,13.80%,,16.94%,,12.58%,,19.77%,,17.21%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skill Group 15-18,Round 1,CT Win,Bomb Defused,14.68%,,13.27%,,14.58%,,17.40%,,12.32%,,19.99%,,17.18%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skill Group 1-6,Rounds 2 - 3,CT Win,Bomb Defused,11.75%,,11.70%,,8.67%,,12.59%,,9.35%,,13.88%,,12.06%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skill Group 7-10,Rounds 2 - 3,CT Win,Bomb Defused,9.87%,,10.20%,,7.77%,,11.30%,,8.24%,,12.78%,,10.90%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skill Group 11-14,Rounds 2 - 3,CT Win,Bomb Defused,8.52%,,9.33%,,7.20%,,10.28%,,7.05%,,11.55%,,9.51%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skill Group 15-18,Rounds 2 - 3,CT Win,Bomb Defused,8.39%,,8.70%,,8.09%,,10.11%,,6.96%,,11.39%,,9.71%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skill Group 1-6,Rounds 4 - 15,CT Win,Bomb Defused,11.37%,,11.71%,,9.08%,,12.87%,,9.60%,,14.48%,,12.74%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
